Date,Zipcode,Pollutant,Avg Concentration (ug/m3),Daily Avg AQI,Daily Max AQI,AQI Category
2025-07-22,10010,PM2.5,13.84,56.2,59,Moderate
2025-07-22,10010,PM10,14.73,11.4,13,Good
2025-07-22,10010,Ozone,83.46,40.8,75,Moderate
2025-07-22,10010,Nitrogen Dioxide,14.25,7.0,12,Good
2025-07-22,10010,Sulphur Dioxide,4.5,2.4,3,Good
2025-07-22,10010,Carbon Monoxide,202.25,2.0,2,Good
2025-07-22,10010,Overall,,59.2,75,Moderate
2025-07-23,10010,PM2.5,12.9,61.5,64,Moderate
2025-07-23,10010,PM10,14.52,15.2,17,Good
2025-07-23,10010,Ozone,89.67,49.6,106,Unhealthy for Sensitive Groups
2025-07-23,10010,Nitrogen Dioxide,19.94,9.9,18,Good
2025-07-23,10010,Sulphur Dioxide,5.84,3.1,6,Good
2025-07-23,10010,Carbon Monoxide,221.25,2.2,3,Good
2025-07-23,10010,Overall,,70.9,106,Unhealthy for Sensitive Groups
2025-07-24,10010,PM2.5,11.1,52.2,57,Moderate
2025-07-24,10010,PM10,11.87,10.3,13,Good
2025-07-24,10010,Ozone,102.58,58.8,118,Unhealthy for Sensitive Groups
2025-07-24,10010,Nitrogen Dioxide,15.02,7.4,11,Good
2025-07-24,10010,Sulphur Dioxide,5.58,3.0,4,Good
2025-07-24,10010,Carbon Monoxide,212.25,2.0,2,Good
2025-07-24,10010,Overall,,68.8,118,Unhealthy for Sensitive Groups
2025-07-25,10010,PM2.5,12.77,55.8,57,Moderate
2025-07-25,10010,PM10,13.08,11.2,12,Good
2025-07-25,10010,Ozone,112.29,80.4,160,Unhealthy
2025-07-25,10010,Nitrogen Dioxide,15.75,7.8,16,Good
2025-07-25,10010,Sulphur Dioxide,8.52,4.6,9,Good
2025-07-25,10010,Carbon Monoxide,239.46,2.2,3,Good
2025-07-25,10010,Overall,,87.2,160,Unhealthy
2025-07-26,10010,PM2.5,23.6,62.0,76,Moderate
2025-07-26,10010,PM10,24.12,14.2,21,Good
2025-07-26,10010,Ozone,91.71,52.0,109,Unhealthy for Sensitive Groups
2025-07-26,10010,Nitrogen Dioxide,15.87,7.8,15,Good
2025-07-26,10010,Sulphur Dioxide,4.36,2.3,3,Good
2025-07-26,10010,Carbon Monoxide,296.88,2.5,3,Good
2025-07-26,10010,Overall,,69.5,109,Unhealthy for Sensitive Groups
2025-07-27,10010,PM2.5,28.98,91.0,97,Moderate
2025-07-27,10010,PM10,29.89,28.9,32,Good
2025-07-27,10010,Ozone,87.17,44.0,84,Moderate
2025-07-27,10010,Nitrogen Dioxide,23.46,11.5,22,Good
2025-07-27,10010,Sulphur Dioxide,6.03,3.2,5,Good
2025-07-27,10010,Carbon Monoxide,306.33,3.0,3,Good
2025-07-27,10010,Overall,,91.0,97,Moderate
2025-07-28,10010,PM2.5,22.1,77.6,88,Moderate
2025-07-28,10010,PM10,22.79,21.8,27,Good
2025-07-28,10010,Ozone,91.5,56.6,115,Unhealthy for Sensitive Groups
2025-07-28,10010,Nitrogen Dioxide,25.65,12.6,52,Moderate
2025-07-28,10010,Sulphur Dioxide,4.52,2.5,5,Good
2025-07-28,10010,Carbon Monoxide,310.21,3.0,3,Good
2025-07-28,10010,Overall,,85.1,115,Unhealthy for Sensitive Groups
2025-07-29,10010,PM2.5,28.79,87.7,93,Moderate
2025-07-29,10010,PM10,29.31,26.9,30,Good
2025-07-29,10010,Ozone,91.04,61.4,158,Unhealthy
2025-07-29,10010,Nitrogen Dioxide,51.06,25.2,55,Moderate
2025-07-29,10010,Sulphur Dioxide,6.11,3.2,5,Good
2025-07-29,10010,Carbon Monoxide,355.88,3.5,4,Good
2025-07-29,10010,Overall,,102.7,158,Unhealthy
2025-07-30,10010,PM2.5,20.25,73.6,87,Moderate
2025-07-30,10010,PM10,20.95,20.3,27,Good
